Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
ELCR-G,-117.0916,32.893,211,January,67.62,7.8,13.7,19.6
ELCR-G,-117.0916,32.893,211,February,76.65,8,13.8,19.7
ELCR-G,-117.0916,32.893,211,March,53.58,8.8,14.5,20.2
ELCR-G,-117.0916,32.893,211,April,24.68,10,15.8,21.7
ELCR-G,-117.0916,32.893,211,May,10.2,12.3,17.5,22.6
ELCR-G,-117.0916,32.893,211,June,1.88,14.1,19.4,24.7
ELCR-G,-117.0916,32.893,211,July,2.73,16.3,21.9,27.6
ELCR-G,-117.0916,32.893,211,August,1.33,17,22.9,28.9
ELCR-G,-117.0916,32.893,211,September,4.08,16,22.2,28.4
ELCR-G,-117.0916,32.893,211,October,14.78,13.5,19.6,25.8
ELCR-G,-117.0916,32.893,211,November,26.86,9.8,16.3,22.8
ELCR-G,-117.0916,32.893,211,December,54.25,7,13.2,19.4
ELCR-G,-117.0916,32.893,211,Annual,338.64,11.7,17.6,23.4
,,,,,,,,
ELCR-DV,-117.0922,32.8929,211,January,67.62,7.8,13.7,19.6
ELCR-DV,-117.0922,32.8929,211,February,76.65,8,13.8,19.7
ELCR-DV,-117.0922,32.8929,211,March,53.58,8.8,14.5,20.2
ELCR-DV,-117.0922,32.8929,211,April,24.68,10,15.8,21.7
ELCR-DV,-117.0922,32.8929,211,May,10.2,12.3,17.5,22.6
ELCR-DV,-117.0922,32.8929,211,June,1.88,14.1,19.4,24.7
ELCR-DV,-117.0922,32.8929,211,July,2.73,16.3,21.9,27.6
ELCR-DV,-117.0922,32.8929,211,August,1.33,17,22.9,28.9
ELCR-DV,-117.0922,32.8929,211,September,4.08,16,22.2,28.4
ELCR-DV,-117.0922,32.8929,211,October,14.78,13.5,19.6,25.8
ELCR-DV,-117.0922,32.8929,211,November,26.86,9.8,16.3,22.8
ELCR-DV,-117.0922,32.8929,211,December,54.25,7,13.2,19.4
ELCR-DV,-117.0922,32.8929,211,Annual,338.64,11.7,17.6,23.4
,,,,,,,,
SCPS-G,-117.2471,32.8757,66,January,52.66,9.1,13.7,18.4
SCPS-G,-117.2471,32.8757,66,February,58.36,9.5,14,18.4
SCPS-G,-117.2471,32.8757,66,March,38.08,10.6,14.5,18.5
SCPS-G,-117.2471,32.8757,66,April,19.06,11.8,15.4,19
SCPS-G,-117.2471,32.8757,66,May,6.73,14,16.8,19.6
SCPS-G,-117.2471,32.8757,66,June,1.69,15.7,18.1,20.6
SCPS-G,-117.2471,32.8757,66,July,2.66,17.7,20.2,22.6
SCPS-G,-117.2471,32.8757,66,August,1.02,18.4,21.1,23.9
SCPS-G,-117.2471,32.8757,66,September,3.29,17.5,20.7,23.9
SCPS-G,-117.2471,32.8757,66,October,13.42,14.9,18.7,22.5
SCPS-G,-117.2471,32.8757,66,November,18.6,11.4,16.1,20.8
SCPS-G,-117.2471,32.8757,66,December,42.4,8.8,13.4,18
SCPS-G,-117.2471,32.8757,66,Annual,257.99,13.3,16.9,20.5
,,,,,,,,
SCPS-DV,-117.2482,32.8757,66,January,52.66,9.1,13.7,18.4
SCPS-DV,-117.2482,32.8757,66,February,58.36,9.5,14,18.4
SCPS-DV,-117.2482,32.8757,66,March,38.08,10.6,14.5,18.5
SCPS-DV,-117.2482,32.8757,66,April,19.06,11.8,15.4,19
SCPS-DV,-117.2482,32.8757,66,May,6.73,14,16.8,19.6
SCPS-DV,-117.2482,32.8757,66,June,1.69,15.7,18.1,20.6
SCPS-DV,-117.2482,32.8757,66,July,2.66,17.7,20.2,22.6
SCPS-DV,-117.2482,32.8757,66,August,1.02,18.4,21.1,23.9
SCPS-DV,-117.2482,32.8757,66,September,3.29,17.5,20.7,23.9
SCPS-DV,-117.2482,32.8757,66,October,13.42,14.9,18.7,22.5
SCPS-DV,-117.2482,32.8757,66,November,18.6,11.4,16.1,20.8
SCPS-DV,-117.2482,32.8757,66,December,42.4,8.8,13.4,18
SCPS-DV,-117.2482,32.8757,66,Annual,257.99,13.3,16.9,20.5
,,,,,,,,
JMS-G,-116.7742,33.8106,1679,January,120.24,-1.8,4.7,11.2
JMS-G,-116.7742,33.8106,1679,February,133.21,-2.1,4.4,10.9
JMS-G,-116.7742,33.8106,1679,March,93.28,-1,6,13.1
JMS-G,-116.7742,33.8106,1679,April,42.03,0.4,8.2,16
JMS-G,-116.7742,33.8106,1679,May,17.53,4.9,12.9,21
JMS-G,-116.7742,33.8106,1679,June,3.48,7.4,16.9,26.4
JMS-G,-116.7742,33.8106,1679,July,10.54,11.6,19.9,28.1
JMS-G,-116.7742,33.8106,1679,August,14.39,13.2,21.4,29.7
JMS-G,-116.7742,33.8106,1679,September,15.05,9.2,17.7,26.1
JMS-G,-116.7742,33.8106,1679,October,26.8,4.5,12.8,21.1
JMS-G,-116.7742,33.8106,1679,November,47.07,0.4,7.8,15.1
JMS-G,-116.7742,33.8106,1679,December,88.75,-2,4.5,11
JMS-G,-116.7742,33.8106,1679,Annual,612.38,3.7,11.4,19.1
,,,,,,,,
JMS-DV,-116.7742,33.8106,1679,January,120.24,-1.8,4.7,11.2
JMS-DV,-116.7742,33.8106,1679,February,133.21,-2.1,4.4,10.9
JMS-DV,-116.7742,33.8106,1679,March,93.28,-1,6,13.1
JMS-DV,-116.7742,33.8106,1679,April,42.03,0.4,8.2,16
JMS-DV,-116.7742,33.8106,1679,May,17.53,4.9,12.9,21
JMS-DV,-116.7742,33.8106,1679,June,3.48,7.4,16.9,26.4
JMS-DV,-116.7742,33.8106,1679,July,10.54,11.6,19.9,28.1
JMS-DV,-116.7742,33.8106,1679,August,14.39,13.2,21.4,29.7
JMS-DV,-116.7742,33.8106,1679,September,15.05,9.2,17.7,26.1
JMS-DV,-116.7742,33.8106,1679,October,26.8,4.5,12.8,21.1
JMS-DV,-116.7742,33.8106,1679,November,47.07,0.4,7.8,15.1
JMS-DV,-116.7742,33.8106,1679,December,88.75,-2,4.5,11
JMS-DV,-116.7742,33.8106,1679,Annual,612.38,3.7,11.4,19.1
,,,,,,,,
EMR-G,-117.0425,33.4686,479,January,87.27,6.2,12.6,18.9
EMR-G,-117.0425,33.4686,479,February,98.75,5.8,12.4,18.9
EMR-G,-117.0425,33.4686,479,March,64.03,7.1,13.8,20.5
EMR-G,-117.0425,33.4686,479,April,27.68,8.2,15.4,22.7
EMR-G,-117.0425,33.4686,479,May,10.86,10.5,18,25.5
EMR-G,-117.0425,33.4686,479,June,2.41,12.4,21.3,30.1
EMR-G,-117.0425,33.4686,479,July,2.98,15.2,24.8,34.4
EMR-G,-117.0425,33.4686,479,August,2.26,15.8,25.5,35.1
EMR-G,-117.0425,33.4686,479,September,4.96,15,23.6,32.2
EMR-G,-117.0425,33.4686,479,October,17.21,12.2,19.8,27.5
EMR-G,-117.0425,33.4686,479,November,28.43,8.5,15.7,22.9
EMR-G,-117.0425,33.4686,479,December,61.87,5.8,12.2,18.6
EMR-G,-117.0425,33.4686,479,Annual,408.71,10.2,17.9,25.6
,,,,,,,,
