genomeID	02-D1	02-D2	02-D3	02-D4	02-G1	02-G2	02-G3	02-G4	04-D1	04-D4	04-G1	04-G2	04-G3	04-G4	08-D1	08-D2	08-D3	08-D4	08-G1	08-G2	08-G3	08-G4	09-D2	09-D3	09-D4	09-G1	09-G2	09-G3	09-G4	11-D1	11-D2	11-D3	11-D4	11-G1	11-G2	11-G3	11-G4	12-D1	12-D2	12-D3	12-D4	12-G1	12-G2	12-G3	12-G4	16-D1	16-D2	16-D3	16-D4	16-G1	16-G2	16-G3	16-G4	18-D1	18-D3	18-D4	18-G1	18-G2	18-G3	18-G4	19-G1	19-G2	19-G3	19-G4	20-D1	20-D2	20-D3	20-D4	20-G1	20-G2	20-G3	20-G4	23-D1	23-D2	23-D3	23-D4	23-G1	23-G2	23-G3	23-G4	24-D1	24-D2	24-D3	24-D4	24-G1	24-G2	24-G3	24-G4	25-D1	25-D2	25-D3	25-D4	25-G1	25-G2	25-G3	25-G4	26-D1	26-D2	26-D3	26-D4	26-G1	26-G2	26-G3	26-G4	28-D1	28-D2	28-D3	28-D4	28-G1	28-G2	28-G3	28-G4	30-D1	30-D2	30-D3	30-D4	30-G1	30-G2	30-G3	30-G4	32-D1	32-D2	32-D3	32-D4	32-G1	32-G2	32-G3	32-G4	33-D1	33-D2	33-D3	33-D4	33-G1	33-G2	33-G3	33-G4	35-D1	35-D2	35-D3	35-D4	35-G1	35-G2	35-G3	35-G4	36-D1	36-D2	36-D3	36-D4	36-G1	36-G2	36-G3	36-G4	37-D1	37-D2	37-D3	37-D4	37-G1	37-G2	37-G3	37-G4	39-D1	39-D2	39-D3	39-D4	39-G1	39-G2	39-G3	39-G4	40-D1	40-D2	40-D3	40-D4	40-G1	40-G2	40-G3	40-G4	41-D1	41-D2	41-D3	41-D4	41-G1	41-G2	41-G3	41-G4
Agreia.1	31	0	657	243	229	293	339	681	433	472	3669	2468	676	408	277	987	148	113	1916	19082	5055	754	111	86	0	0	7	0	47	122	0	0	77	0	12	139	22	73	110	0	638	3	18	1	12	50	2	203	12	1	79	55	649	251	0	204	34	5	3	534	30	138	262	70	729	1471	561	673	3723	2892	2366	6594	155	89	381	127	142	8	11	3	16	10	1	3	12	287	13	6	690	43	67	20	15	20	53	1	134	1	62	4	93	9	196	326	69	37	127	88	6	16	13	41	144	181	166	147	65	163	42	110	23	37	32	85	27	69	111	47	55	0	111	88	67	48	49	48	407	95	296	311	0	117	3	60	439	714	451	753	2072	2889	958	317	1766	482	1177	190	303	2004	2728	2401	106	153	81	86	240	334	407	229	299	130	498	125	47	9	0	166	736	906	6	8	104	374	523	314
Agreia.2	13	0	323	100	120	157	172	253	227	249	901	794	241	139	214	408	91	57	190	2973	864	192	112	46	0	0	2	0	24	25	0	0	50	0	12	42	13	51	86	0	285	5	1	1	3	47	2	83	7	0	48	53	245	196	0	149	26	2	2	314	18	46	114	38	394	512	324	510	2886	765	1065	2050	119	84	154	93	45	5	9	2	15	9	2	4	8	121	9	4	267	12	23	8	8	21	26	3	84	0	46	1	79	10	94	95	74	47	117	86	8	18	16	23	120	157	108	88	37	110	33	90	16	30	23	63	28	37	71	37	42	0	98	60	52	35	44	35	266	79	178	120	1	38	3	54	298	341	290	408	913	1233	430	132	859	307	627	147	176	1008	1780	961	83	130	84	69	120	106	110	106	234	111	255	101	42	0	0	44	286	288	1	3	35	93	128	95
Bacillus.1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	7	1	12	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	25	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	1	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacillus.2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	3	2	0	1	0	0	0	0
Bacillus.4	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	2	3	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0
Bacillus.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus.7	0	0	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0
Clavibacter.1	108	0	993	256	1453	4135	2095	3842	800	743	1837	2088	1184	770	1015	1455	610	545	2201	18342	10684	1079	393	527	0	0	30	0	648	49	0	0	31	0	63	241	67	264	322	0	998	26	37	4	12	339	6	257	113	2	675	759	660	1597	0	1514	250	22	11	3494	211	418	586	287	416	587	344	673	7392	2789	6557	8423	1402	517	615	627	187	117	68	27	99	15	5	23	46	441	102	13	772	78	84	36	304	493	78	428	1633	0	252	19	1048	70	404	302	589	484	778	982	99	199	160	439	1160	1260	1116	829	274	838	259	748	174	325	130	414	2047	564	1422	2082	326	0	543	383	700	449	388	451	1086	374	653	341	11	332	21	580	888	849	777	1290	3067	7286	5201	1321	725	528	460	300	703	16970	4831	2445	514	592	524	598	1265	2056	2099	1243	930	776	819	479	208	16	0	695	443	732	26	22	532	1214	765	689
