variable	color
Clade.I	steelblue2
Clade.II	yellow
Clade.III	red
Clade.IV	mediumorchid3
Clade.UNK	gray
Clade.V	green
Total.Curto	cadetblue4
I	#7171FF
IA	#7ECFE8
IB	#009ACD
IC	#0000E8
II	#EEC900
IIA	#FFFF00
IIB	#B0B038
IIC	#EEE8AA
IID	#CDCD00
IIE	#EEDC82
IIF	#FFD700
IIG	#CD9B1D
IIH	#FFF68F
IIJ	#EEAD0E
IIK	#F5DEB3
III	#FF0000
IIIA	#FF8D8D
IIIB	#B03060
IIIC	#FF69B4
IIID	#8B0000
IIIE	#FF7256
IIIF	#8B475D
IV	#DC89FF
IVA	#E6C4FF
IVB	#9300FF
IVC	#4B0082
IVD	#8B008B
IVE	#8968CD
UND	#D3D3D3
V	#00A400
VA	#00FF36
UA	#708090
UB	#C6E2FF
UC	#EEE9E9
UD	#8B8989
NA	#FFFFFF
