Reserve	Ecosystem	ID_Number	SampleID	Date_sampled	Litter_type	plot_cordsX	plot_cordsY	Elevation	Litter_species	Litter_species_common_name	pH	Plant_family	Plant_type
Elliott Chaparral Reserve	Chaparral	28	28G1	2021-11-02	Grass	"32¼53'34.86""N"	"117¼5'29.92""W"	235	Avena fatua		6.59	Poaceae	Grass
Elliott Chaparral Reserve	Chaparral	28	28G2	2021-11-02	Grass	"32¼53'34.86""N"	"117¼5'29.92""W"	235	Avena fatua		6.61	Poaceae	Grass
Elliott Chaparral Reserve	Chaparral	28	28G3	2021-11-02	Grass	"32¼53'34.86""N"	"117¼5'29.92""W"	235	Avena fatua		6.54	Poaceae	Grass
Elliott Chaparral Reserve	Chaparral	28	28G4	2021-11-02	Grass	"32¼53'34.86""N"	"117¼5'29.92""W"	235	Avena fatua		6.66	Poaceae	Grass
Elliott Chaparral Reserve	Chaparral	28	28D1	2021-11-02	Dominant Vegetation	"32¼53'34.49""N"	"117¼5'32.00""W"	222	Rhus integrifolia	Lemonade Berry	6.5	Anacardiaceae	Shrub
Elliott Chaparral Reserve	Chaparral	28	28D2	2021-11-02	Dominant Vegetation	"32¼53'34.49""N"	"117¼5'32.00""W"	222	Rhus integrifolia	Lemonade Berry	6.65	Anacardiaceae	Shrub
Elliott Chaparral Reserve	Chaparral	28	28D3	2021-11-02	Dominant Vegetation	"32¼53'34.49""N"	"117¼5'32.00""W"	222	Rhus integrifolia	Lemonade Berry	6.53	Anacardiaceae	Shrub
Elliott Chaparral Reserve	Chaparral	28	28D4	2021-11-02	Dominant Vegetation	"32¼53'34.49""N"	"117¼5'32.00""W"	222	Rhus integrifolia	Lemonade Berry	6.7	Anacardiaceae	Shrub
Scripps Coastal Reserve	Coastal Marine	30	30G1	2021-11-02	Grass	"32¼52'32.46""N"	"117¼14'49.57""W"	113	Avena fatua		6.65	Poaceae	Grass
Scripps Coastal Reserve	Coastal Marine	30	30G2	2021-11-02	Grass	"32¼52'32.46""N"	"117¼14'49.57""W"	113	Avena fatua		6.73	Poaceae	Grass
Scripps Coastal Reserve	Coastal Marine	30	30G3	2021-11-02	Grass	"32¼52'32.46""N"	"117¼14'49.57""W"	113	Avena fatua		6.8	Poaceae	Grass
Scripps Coastal Reserve	Coastal Marine	30	30G4	2021-11-02	Grass	"32¼52'32.46""N"	"117¼14'49.57""W"	113	Avena fatua		6.8	Poaceae	Grass
Scripps Coastal Reserve	Coastal Marine	30	30D1	2021-11-02	Dominant Vegetation	"32¼52'32.52""N"	"117¼14'53.62""W"	110	Artemisa californica		6.91	Asteraceae	Shrub
Scripps Coastal Reserve	Coastal Marine	30	30D2	2021-11-02	Dominant Vegetation	"32¼52'32.52""N"	"117¼14'53.62""W"	110	Artemisa californica		6.9	Asteraceae	Shrub
Scripps Coastal Reserve	Coastal Marine	30	30D3	2021-11-02	Dominant Vegetation	"32¼52'32.52""N"	"117¼14'53.62""W"	110	Artemisa californica		6.9	Asteraceae	Shrub
Scripps Coastal Reserve	Coastal Marine	30	30D4	2021-11-02	Dominant Vegetation	"32¼52'32.52""N"	"117¼14'53.62""W"	110	Artemisa californica		6.89	Asteraceae	Shrub
James San Jacinto Mountains Reserve	Montane	24	24G1	2021-11-30	Grass	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Bromus diandrus	Ripcut grass	6.1	Poaceae	Grass
James San Jacinto Mountains Reserve	Montane	24	24G2	2021-11-30	Grass	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Bromus diandrus	Ripcut grass	6.07	Poaceae	Grass
James San Jacinto Mountains Reserve	Montane	24	24G3	2021-11-30	Grass	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Bromus diandrus	Ripcut grass	6.07	Poaceae	Grass
James San Jacinto Mountains Reserve	Montane	24	24G4	2021-11-30	Grass	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Bromus diandrus	Ripcut grass	6.27	Poaceae	Grass
James San Jacinto Mountains Reserve	Montane	24	24D1	2021-11-30	Dominant Vegetation	"33¼48'38.08""N"	"116¼46'27.15""W"	1652	Pinus ponderosa		5.97	Pinaceae	Pine
