batch	code	account	farmname	desc_1	Sampled	Arrived	Completed	Cutting	CropYear	drymatter	moisture	CP	ADJ_CP	ADJ_CP_CP	SP	SP_CP	NH3CPE	NH3CPE_CP	ADICP	ADICP_CP	NDICP	NDICP_CP	RDP	RDP_CP	RDPsg	RDPsg_CP	ADF	ADF_NDF	NDF	aNDFom	Lignin	Lignin_ndf	ESC	ESC_NFC	Starch	Starch_NFC	Sol_fiber	Sol_fiber_NFC	StarchD	StarchD_NFC	TFA	Fat_EE	AHFAT	eTDN	eDE	TDN	DEMcallb	DEMcalkg	DEMJkg	NELMcallb	NELMcalkg	NELMJkg	NELNASEMMcallb	NELNASEMMcalkg	NELNASEMMJkg	NEMMcallb	NEMMcalkg	NEMMJkg	NEGMcallb	NEGMcalkg	NEGMJkg	kdVanAmburgh	NDFDigRateKD_uNDF	kdMertens	kdStarchMertens	RFV	RFQ	MilkTonH	DOMI	ROM	NFC	NSC	DCAD	SummativeIndex	Ash	Ca	P	Mg	K	S	ME	WaterSolubleCHOSugar_DM	NSC_WSC	Beef_per_Ton
36055	1	13392	JENNIFER MARTINY LAB	#1 28G2		9/24/24	11/4/24		2024	86.7	13.3	7.7	4.2	54.5					3.46	45.1	7.26	94.7					59.8	89.1	67.1	50.3	10.09	15.03			3	15.6						1.28				43				0.42						0.28			0.04				4.7			59					19.3				11.86	0.96	0.5	0.25	2.09	0.02	0.66	0	3	
36055	2	13392	JENNIFER MARTINY LAB	#2 28D1		9/24/24	11/4/24		2024	91.5	8.5	10.7	6	56.1	1.1	10.5	1.6	15	4.69	43.9	5.91	55.3	5.9	55.2			39.7	96.7	41.1	30.8	14.3	34.81	6.6	20.9	11.2	35.3						10.1				57.9				0.59						0.58			0.32				0.2			131				25.81	31.6	17.8			12.39	1.68	0.31	0.89	0.1	0.48	0.97	9.7	20.9	
36055	3	13392	JENNIFER MARTINY LAB	#3 28D2		9/24/24	11/4/24		2024	90.9	9.1	14.7	9.8	66.7	4.8	32.7	3.4	23.2	4.94	33.7	6.45	44	9.7	66.3			46.8	123.9	37.8	28.3	16.14	42.73	1.5	6	10.5	40.7						9.87				52.1				0.52						0.47			0.22							129				20.46	25.8	12			18.35	1.85	0.27	0.98	0.1	0.57	0.85	2.2	12.7	
36055	4	13392	JENNIFER MARTINY LAB	#4 30G1		9/24/24	11/4/24		2024	86.7	13.3	10.8	7.5	69.4	2.2	20.2			3.31	30.8	5.94	55.3	6.5	60.1			54.9	75.6	72.7	54.5	10.02	13.79			2.4	20.7						1.86				44.3				0.44						0.31			0.07				5			59					11.6				9.06	0.82	0.55	0.27	1.12	0.1	0.69	0	2.4	
36055	5	13392	JENNIFER MARTINY LAB	#5 30G2		9/24/24	11/4/24		2024	88.2	11.8	11.8	8.3	70.3	2.6	22.1	0.83	7	3.51	29.6	6.74	56.9	7.2	61.1			55.7	89.2	62.4	46.8	14.4	23.06			3.1	15.1						2.01				42.4				0.42						0.27			0.03				3.7			68				27.23	20.9				9.59	1.24	0.27	0.38		0.21	0.65	0	3.1	
36055	6	13392	JENNIFER MARTINY LAB	#6 30D1		9/24/24	11/4/24		2024	88.2	11.9	18.4	13.2	71.7	3.5	19.2	2.84	15.5	5.22	28.4	10.67	58.1	10.9	59.6			49.1	99.4	49.4	37.1	18.67	37.79	0.1	0.4	6.8	24.1						5.04				48.4				0.48						0.39			0.15				2.5			95				24.62	28	6.9			9.86	2.05	0.26	0.62	0.1	0.43	0.77	0.1	6.9	
36055	7	13392	JENNIFER MARTINY LAB	#7 30D2		9/24/24	11/4/24		2024	87.9	12.1	16.8	11.8	70.2	3.2	19	2.22	13.2	5.02	29.8	9.34	55.5	10	59.5			52.2	97.6	53.5	40.1	18.95	35.45	0.1	0.4	6.8	26.6						4.08				44.9				0.44						0.32			0.08							84				24.27	25.6	6.9			9.37	1.94	0.23	0.51	0.1	0.4	0.7	0.1	6.9	
36055	8	13392	JENNIFER MARTINY LAB	#8 24G1		9/24/24	11/4/24		2024	92.4	7.6	2.2	0.7	31.8	0.7	30.1	0.4	18.5	1.5	69.4	2.77	128.2	1.4	65			53.1	69.8	76	72.3	9.96	13.11			1.4	9.2						3.64				49.3				0.49						0.41			0.17				3.9			58				14.56	14.8				6.16	0.45	0.17	0.2		0.04	0.79	5.6	7	
36055	9	13392	JENNIFER MARTINY LAB	#9 24G2		9/24/24	11/4/24		2024	92.9	7.1	2.4	1.8	75	0.9	36.1	1.12	46.5	0.62	25.7	1.81	75.1	1.6	68			49.5	65.3	75.8	74.7	7.7	10.16			1.1	7.6						4.39				54.8				0.55						0.52			0.26				4.3			62				12.86	13.9				5.27	0.37	0.14	0.15		0.05	0.9	6.8	7.9	
36055	10	13392	JENNIFER MARTINY LAB	#10 24D1		9/24/24	11/4/24		2024	95	5	0.3	-1.4						1.65	500	1.88	570					37.9	78.7	48.1	47.1	11.68	24.27			3.9	9.3						7.31				64				0.66						0.69			0.42				4			115					41.8				3.96	1.41	0.17	0.33		0.15	1.09	8.7	12.6	
