,02D1,02D2,02G1,02G2,04D1,04D2,04G1,04G2,08D1,08D2,08G1,08G2,09D1,09D2,09G1,09G2,11D1,11D2,11G1,11G2,12D1,12D2,12G1,12G2,16D1,16D2,16G1,16G2,18D1,18D2,18G1,18G2,19G1,19G2,20D1,20D2,20G1,20G2,23D1,23D2,23G1,23G2,24D1,24D2,24G1,24G2,25D1,25D2,25G1,25G2,26D1,26D2,26G1,26G2,28D1,28D2,28G1,28G2,30D1,30D2,30G1,30G2,32D1,32D2,32G1,32G2,33D1,33D2,33G1,33G2,35D1,35D2,35G1,35G2,36D1,36D2,36G1,36G2,37D1,37D2,37G1,37G2,39D1,39D2,39G1,39G2,40D1,40D2,40G1,40G2,41D1,41D2,41G1,41G2
02D1,0,0.457273409,2.551029893,3.130467011,1.928272907,2.012002999,2.593562828,3.066690087,3.140972949,5.914069422,3.946177665,3.125651161,2.2265181,1.732023237,3.889443083,4.327853466,3.286894138,2.867200209,3.019654115,3.229483712,1.65976923,1.219395757,3.710355707,3.651618058,3.116784896,2.8703325,3.494851518,3.275939517,7.621223482,8.07849689,3.004775921,3.88777277,3.362030511,2.936437222,2.208977035,2.744113401,3.027607441,2.902035325,2.041649382,2.490350726,3.704498119,4.042421436,3.089088132,3.165940603,3.954643107,4.153383868,2.680594774,2.225527722,3.564221555,3.784270141,2.641378406,3.997050418,4.083566138,4.980864702,2.65918666,3.472821818,3.977516008,3.775432774,4.17324398,4.055609156,3.813657142,3.536212723,3.165699441,3.296059253,3.169034942,3.011338587,3.52959759,0.85357703,2.858499565,3.917277105,1.879205944,0.762122348,3.126418286,3.318859325,2.324493587,4.328854938,2.237838839,2.635464782,3.29046835,2.746882996,2.546771105,3.3197577,1.199170804,2.286367044,3.301205988,2.944259168,3.291689995,4.572734089,4.693458109,3.834729734,3.178611538,5.243401755,3.871404504,3.423310024
02D2,0.457273409,0,0.975516606,3.170428968,3.383823226,1.55472959,2.164427469,3.658187271,4.511764301,5.456796013,3.993521104,0.487758303,2.530246196,2.377821726,2.56073109,3.231398756,3.048489393,1.768123848,0.213394257,0.487758303,1.188910863,0.762122348,3.505762802,2.743640453,0.487758303,0.365818727,1.737638954,2.713155559,7.163950073,7.621223482,1.798608742,1.0060015,0.15242447,0.335333833,0.85357703,0.945031712,2.652185772,3.841096635,4.024005998,4.572734089,4.786128346,5.12146218,3.505762802,3.627702377,3.902066423,3.810611741,4.359339831,4.206915362,4.908067922,4.999522604,0.670667666,0.091454682,3.26188365,3.170428968,5.12146218,5.578735589,5.395826225,5.456796013,6.371342831,6.340857937,5.578735589,5.82261474,4.938552816,3.902066423,0.914546818,1.097456181,0.060969788,0.396303621,0.731637454,0.731637454,1.798608742,1.219395757,0.975516606,0.70115256,0.792607242,3.871581529,1.85957853,0.640182772,3.475277908,1.493759802,1.219395757,0.975516606,0.182909364,1.829093636,2.316851938,2.957034711,3.780126847,4.11546068,3.96303621,1.737638954,4.542249195,4.786128346,2.194912363,4.481279407
02G1,2.551029893,0.975516606,0,1.485003832,2.436380473,0.579212985,0.620553087,1.415404745,2.080938397,4.481279407,3.32045407,2.774473527,2.443431974,2.168099733,3.449236821,3.731771011,3.1519609,2.913352879,1.762559841,2.384760428,2.540065673,0.213394257,3.269798367,3.524030241,4.232496505,3.715485645,2.498613387,2.312222832,6.188433467,6.645706876,2.855866698,4.631980428,2.930077659,2.824425566,2.89925108,3.122410422,2.341566515,2.032404251,3.049440039,3.260951034,2.267630918,2.539828924,3.704463781,1.78623098,3.057961068,3.42815945,3.651885838,2.969364887,2.17016307,2.553119721,3.617429094,5.082278304,3.578477572,4.317753335,3.129268321,3.645794942,2.479354393,2.28811526,4.192047963,3.876738202,2.374865936,2.355465376,2.96474596,3.462004702,1.640343818,1.126538188,3.37960875,0.579212985,2.106297589,2.749876149,2.232624706,2.194912363,2.111800663,2.115167559,2.63531138,2.896064923,1.92183361,1.883338538,3.684660315,3.186176248,1.962722608,2.622659448,3.115772729,0.85357703,2.24234952,1.991508189,3.29213535,3.139944074,3.523905745,3.081182842,3.859008157,3.810611741,3.202113275,2.476851998
02G2,3.130467011,3.170428968,1.485003832,0,2.820040189,1.615699378,1.064439128,0.674290641,2.277171466,2.286367044,2.495226616,2.425709681,1.906181573,1.982719297,2.510602567,2.725013265,2.183526488,2.208048778,1.769320674,1.924767849,3.120878633,2.40830662,2.352777032,2.647615059,4.120708437,3.965333717,2.46657474,2.705115908,3.993521104,4.450794513,2.83679791,4.603931859,2.615517779,2.505516656,3.155565868,3.202629134,3.031945075,1.591795753,3.019100318,3.36420239,1.313221326,1.492108326,3.319961442,0.806705357,2.18620771,2.451754068,3.123439232,2.76947118,1.656916235,1.855438348,3.928500759,4.997314381,3.545873423,4.003435124,3.247436775,3.998732807,1.236783182,1.128164687,4.66454435,4.33229487,1.512758777,2.28650881,3.316592003,4.023607112,1.380996878,1.15299067,3.901794043,2.774125347,1.745666781,2.245430927,2.560975902,4.389824725,2.058740236,1.894972834,3.651441811,0.70115256,2.451606967,1.993106811,4.121163592,3.790082074,1.485354309,1.957872299,3.668636534,1.341335333,1.709710958,1.823267624,3.991655217,0.945031712,2.486062439,2.235653971,4.236190312,1.615699378,2.371409091,1.719457741
04D1,1.928272907,3.383823226,2.436380473,2.820040189,0,1.829093636,2.172130125,2.419444603,1.519789097,2.072972787,4.010824503,3.892607769,2.603858568,1.983854288,4.341469214,4.653385387,3.576220938,3.478567282,3.553467664,3.823348602,2.463386676,2.621700878,3.992164842,4.119353329,3.893441393,3.583185317,4.391711479,4.274654027,3.780126847,4.237400256,4.005714567,5.294279696,4.220420481,3.89791993,2.335388861,2.835005924,2.641458142,2.446790071,1.006831733,1.069394798,3.161199116,3.488125518,2.972300004,2.841648851,3.769960931,4.189905105,2.657988396,1.592191142,2.785662829,3.237786507,3.417953346,4.756111623,5.160183428,6.092712161,1.616337064,2.204694212,3.203889274,2.883255356,2.639794012,2.49469934,2.984758095,1.881070166,1.541164188,2.158931189,3.478514399,3.115373407,3.36683466,2.987519605,3.453176918,4.350447448,1.528062388,4.603218983,3.928212958,3.676452438,1.763864862,0.487758303,3.327010369,3.440349928,2.155399478,2.142666322,2.982304498,3.819848559,1.765639631,1.55472959,3.44795849,2.742875149,1.685576259,0.731637454,4.648869697,4.325557976,2.288322865,1.402305121,4.284046198,2.966001664
04D2,2.012002999,1.55472959,0.579212985,1.615699378,1.829093636,0,0.609697879,2.103457681,2.957034711,3.902066423,2.438791514,1.066971287,0.975516606,0.823092136,1.0060015,1.676669166,1.493759802,0.213394257,1.768123848,1.066971287,2.743640453,0.792607242,1.951033211,1.188910863,1.066971287,1.920548317,3.292368544,4.26788515,5.609220482,6.066493891,3.353338332,2.56073109,1.70715406,1.890063423,0.70115256,0.609697879,1.097456181,2.286367044,2.469276408,3.018004499,3.231398756,3.566732589,1.951033211,2.072972787,2.347336832,2.255882151,2.804610241,2.652185772,3.353338332,3.444793014,2.225397257,1.463274908,4.81661324,4.725158559,3.566732589,4.024005998,3.841096635,3.902066423,4.81661324,4.786128346,4.024005998,4.26788515,3.383823226,2.347336832,0.640182772,0.457273409,1.615699378,1.158425969,0.823092136,0.823092136,0.243879151,2.774125347,2.530246196,0.85357703,0.762122348,2.316851938,3.41430812,2.194912363,1.920548317,0.060969788,0.335333833,0.579212985,1.371820227,0.274364045,0.762122348,1.402305121,2.225397257,2.56073109,2.40830662,0.182909364,2.987519605,3.231398756,0.640182772,2.926549817
04G1,2.593562828,2.164427469,0.620553087,1.064439128,2.172130125,0.609697879,0,0.931521626,1.68946865,3.292368544,3.148571057,2.845956921,2.206272362,1.949277731,3.28452601,3.557403649,2.935937827,2.799625215,1.886674581,2.383943957,2.654562946,1.402305121,3.092187994,3.374953775,4.244899267,3.83513476,2.656618497,2.615851351,4.999522604,5.456796013,2.99663855,4.727983909,3.034765781,2.904761221,2.835202926,3.034032356,2.448107361,1.784631964,2.673432531,2.87750776,1.940529433,2.224901912,3.427195436,1.464502227,2.814663682,3.206323023,3.37054104,2.671770914,1.874397781,2.28043071,3.775906383,5.143841636,3.817334951,4.46077982,2.794670352,3.352047012,1.960449873,1.718208851,4.014537383,3.682047355,1.987542445,1.938566709,2.70779742,3.336193983,1.71920362,1.213933359,3.397509388,1.768123848,2.124315801,2.780610068,2.084520676,3.383823226,2.259865126,2.190345672,2.666004379,1.70715406,2.259795513,2.083319515,3.537494979,3.168982557,1.740911242,2.473975989,3.084168519,0.335333833,2.190409172,1.918055322,3.151439668,1.951033211,3.32852491,2.98405642,3.717417196,2.621700878,3.093687604,2.197610238
04G2,3.066690087,3.658187271,1.415404745,0.674290641,2.419444603,2.103457681,0.931521626,0,1.726040238,1.798608742,2.624350822,2.645742263,1.983416303,1.922371841,2.774658559,2.977292513,2.375700394,2.472668324,1.97913491,2.171694346,3.012413909,2.896064923,2.505931908,2.85022954,4.17412331,3.975426016,2.928608464,3.071857859,3.505762802,3.96303621,3.045555416,4.740999753,2.855476199,2.798956265,2.883209908,2.942381496,2.672056415,1.371226982,2.738103178,3.041565061,1.360265807,1.492733261,3.027431336,0.906723424,2.069830222,2.498769911,2.99346328,2.45929979,1.507081831,1.911995136,3.82290097,5.039677629,3.888313109,4.461856098,2.813432283,3.62283007,1.178343527,1.043599954,4.235440189,3.863066353,1.389002961,1.796324627,2.969955711,3.762727613,1.610538814,1.272336108,3.5379043,3.26188365,1.954647217,2.449761111,2.250079815,4.877583028,2.417118239,1.960210092,3.32767371,0.213394257,2.612077699,2.188580833,3.551466762,3.285362352,1.750084224,2.251735205,3.412744973,1.829093636,1.791959812,1.680290088,3.570109759,0.457273409,2.604934495,2.548222579,3.993870421,1.127941075,2.594149671,1.505151344
08D1,3.140972949,4.511764301,2.080938397,2.277171466,1.519789097,2.957034711,1.68946865,1.726040238,0,0.945031712,4.017553343,4.105481814,3.02374408,2.609618223,4.308111515,4.541169327,3.850321317,3.92010342,3.237970137,3.629369772,3.253783631,3.749641953,4.00212527,4.343041686,5.010320381,4.625067117,4.190446294,4.14235651,2.652185772,3.10945918,4.207580473,5.494278439,4.327169398,4.235460214,2.970806591,3.190530749,2.606536489,2.399814555,2.153762496,1.990572901,2.721909143,2.920978969,3.287258724,2.479726036,3.344439199,3.918445153,3.581760435,2.541812469,2.416213661,3.001338658,4.455112066,5.907001585,5.2516177,5.926277856,1.891845792,2.261415761,2.305449644,2.012954984,3.014098215,2.575417686,2.455284552,1.102579254,2.015450438,2.911498854,3.130456166,2.643983804,3.220071968,4.11546068,3.401627966,3.973391949,2.145490384,5.731160058,3.733921333,3.346116937,2.232300604,0.640182772,3.641385095,3.470511282,2.481853165,2.592797313,2.833768004,3.563157676,3.031152248,2.682670666,3.286475312,2.74359397,2.157521154,0.396303621,4.143780715,4.159998227,3.401519193,0.274364045,4.157503718,2.715284824
08D2,5.914069422,5.456796013,4.481279407,2.286367044,2.072972787,3.902066423,3.292368544,1.798608742,0.945031712,0,1.463274908,4.96903771,2.926549817,3.078974287,2.896064923,2.225397257,2.40830662,3.688672165,5.67019027,4.96903771,6.645706876,4.694673665,1.951033211,2.713155559,4.96903771,5.82261474,7.194434967,8.169951572,1.70715406,2.164427469,7.255404754,6.462797512,5.609220482,5.792129846,4.603218983,4.511764301,2.804610241,1.615699378,1.432790015,0.884061924,0.670667666,0.335333833,1.951033211,1.829093636,1.55472959,1.646184272,1.097456181,1.249880651,0.548728091,0.457273409,6.127463679,5.365341331,8.718679663,8.627224981,0.335333833,0.121939576,0.060969788,0,0.914546818,0.884061924,0.121939576,0.365818727,0.518243197,1.55472959,4.542249195,4.359339831,5.517765801,5.060492392,4.725158559,4.725158559,3.658187271,6.67619177,6.432312618,4.755643453,4.664188771,1.585214484,7.316374542,6.096978785,1.981518105,3.96303621,4.237400256,4.481279407,5.273886649,3.627702377,3.139944074,2.499761302,1.676669166,1.341335333,1.493759802,3.719157059,0.914546818,0.670667666,3.26188365,0.975516606
