genomeID	04D2	04D3	09D1	09G1	11D2	11D3	11G2	12D3	12G2	12G3	12G4	16D2	16G1	18D2	18D3	18G2	18G3	24D2	24D3	24D4	24G1	24G4	25D2	25D4	26D2	26D4	33D2	35G1	35G3	40G3	41D3
Agreia.1	319	404	44	81	71	321	1543	304	65	2	23	33	213	875	341	49	10	102	19	22	38	31	1339	124	26	51	175	20	35	38	20
Agreia.2	209	294	13	16	13	98	872	167	11	0	6	10	169	785	193	14	3	49	6	1	31	4	498	37	7	7	129	11	15	5	5
Bacillus.1	0	0	0	1	0	0	0	0	0	0	0	0	10	99	36	1	0	0	0	0	0	0	1	9	0	207	0	0	0	0	0
Bacillus.2	0	0	0	0	0	0	0	0	0	0	0	0	9	24	8	0	0	0	0	1	1	0	0	1	0	70	0	0	0	0	0
Bacillus.3	0	3	1	1	0	0	0	0	0	0	0	0	2	41	13	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0
Bacillus.4	0	1	0	0	0	0	1	0	0	0	0	0	1	25	13	2	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0
Bacillus.5	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
Bacillus.6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0
Bacillus.7	1	2	0	0	0	0	0	0	0	0	0	0	1	8	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
Clavibacter.1	660	683	422	100	23	241	2547	684	88	13	25	35	1923	6487	1686	38	20	132	47	62	96	37	1421	158	37	60	737	62	64	11	38
Clavibacter.2	379	368	248	86	11	128	1073	318	71	1	15	38	1105	3511	833	17	14	70	29	38	69	44	826	118	33	28	476	34	45	5	16
Clavibacter.3	143	176	213	25	10	61	505	161	13	1	7	17	1690	3035	437	12	8	44	12	14	41	39	742	76	8	11	194	14	18	2	9
Clavibacter.4	97	93	108	10	1	32	237	91	9	2	4	5	886	1617	256	14	5	13	13	9	20	16	418	40	3	15	110	8	11	1	5
Clavibacter.5	227	188	230	32	7	102	625	217	36	5	11	20	849	2414	454	22	10	46	18	18	28	17	633	61	13	22	248	12	22	4	8
Clavibacter.6	172	163	162	41	6	63	988	148	39	7	5	15	601	1731	391	9	6	37	12	23	43	16	458	57	13	20	215	14	21	1	12
Clavibacter.7	174	196	169	23	7	64	901	205	33	1	12	14	625	1828	496	17	2	40	19	16	38	17	467	51	9	19	166	18	21	5	17
